epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.7979,0.96338,2.2913,0.01334,0.89664,0.65566,0.90384,0.66686,1.58082,0.9661,0.01154,0,0,0
2,3.80891,1.16867,2.44299,0.01394,0.89647,0.65805,0.90211,0.66656,1.57936,0.96655,0.01151,1.17822e-06,1.17822e-06,1.17822e-06
3,5.6647,0.98395,2.76393,0.02108,0.87834,0.66743,0.90205,0.66443,1.57681,0.96901,0.01147,2.33288e-06,2.33288e-06,2.33288e-06
4,7.49618,1.41398,2.2292,0.02984,0.87544,0.67608,0.90564,0.66574,1.57714,0.96824,0.01144,3.46397e-06,3.46397e-06,3.46397e-06
5,9.44803,1.34348,2.99422,0.02149,0.88176,0.67684,0.90567,0.66715,1.52097,1.05258,0.01101,4.5715e-06,4.5715e-06,4.5715e-06
6,11.3883,1.10316,2.01713,0.01418,0.84447,0.67131,0.90208,0.6666,1.51279,1.08279,0.01091,5.65548e-06,5.65548e-06,5.65548e-06
7,13.2436,1.28155,2.80475,0.01222,0.86167,0.67737,0.90604,0.66052,1.55748,1.05338,0.01138,6.71588e-06,6.71588e-06,6.71588e-06
8,15.0884,1.01343,2.2144,0.01029,0.86573,0.67783,0.90208,0.66355,1.55786,1.05633,0.01133,7.75273e-06,7.75273e-06,7.75273e-06
9,17.1157,1.18629,3.26826,0.01687,0.8534,0.68159,0.902,0.68014,1.55335,1.05842,0.01128,8.76602e-06,8.76602e-06,8.76602e-06
10,19.1483,1.08711,2.34997,0.01029,0.84377,0.68539,0.89904,0.67756,1.54939,1.06245,0.01122,9.75574e-06,9.75574e-06,9.75574e-06
11,21.1958,1.1767,2.73193,0.01453,0.96601,0.61994,0.89701,0.674,1.55524,1.09815,0.01129,1.07219e-05,1.07219e-05,1.07219e-05
12,23.0539,0.94414,2.14216,0.01074,0.83548,0.68705,0.89658,0.67487,1.54812,1.07023,0.01116,1.16645e-05,1.16645e-05,1.16645e-05
13,24.9055,0.99181,1.99493,0.01592,0.83717,0.68698,0.89474,0.67175,1.54338,1.07944,0.01109,1.25835e-05,1.25835e-05,1.25835e-05
14,26.7885,1.1765,2.20494,0.01464,0.97018,0.61882,0.89326,0.67092,1.52728,1.09943,0.01088,1.3479e-05,1.3479e-05,1.3479e-05
15,28.694,1.03749,1.85134,0.01299,0.83441,0.68482,0.89473,0.66548,1.52394,1.09247,0.01079,1.43509e-05,1.43509e-05,1.43509e-05
16,30.7235,1.07774,2.5083,0.0233,0.84002,0.68629,0.88687,0.66983,1.51735,1.08588,0.01063,1.51993e-05,1.51993e-05,1.51993e-05
17,32.8581,1.09064,2.40652,0.01493,0.83763,0.68637,0.88792,0.68536,1.51755,1.08974,0.01057,1.60241e-05,1.60241e-05,1.60241e-05
18,34.8876,1.21301,2.20018,0.01606,0.83763,0.68637,0.88792,0.68536,1.51755,1.08974,0.01057,1.68253e-05,1.68253e-05,1.68253e-05
19,36.9576,1.09306,1.89798,0.01188,0.83882,0.6859,0.88721,0.68414,1.51198,1.1099,0.01036,1.7603e-05,1.7603e-05,1.7603e-05
20,39.0853,1.07645,1.86612,0.0161,0.83882,0.6859,0.88721,0.68414,1.51198,1.1099,0.01036,1.83571e-05,1.83571e-05,1.83571e-05
21,41.2129,1.24775,2.87922,0.02288,0.85244,0.68608,0.88694,0.68396,1.50927,1.12602,0.01025,1.90876e-05,1.90876e-05,1.90876e-05
22,43.2324,0.94533,1.89363,0.01569,0.85244,0.68608,0.88694,0.68396,1.50927,1.12602,0.01025,1.97946e-05,1.97946e-05,1.97946e-05
